Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

16:48:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:49:17        all      2.92      0.00      0.46      0.00      0.00     96.61
16:50:17        all      3.14      0.00      0.27      0.01      0.00     96.59
16:51:17        all      2.87      0.00      0.58      0.02      0.00     96.54
16:52:17        all      3.11      0.00      0.27      0.00      0.00     96.62
16:53:17        all      2.94      0.00      0.49      0.00      0.00     96.56
16:54:17        all      2.95      0.00      0.45      0.00      0.00     96.60
16:55:17        all      3.15      0.00      0.22      0.00      0.00     96.63
16:56:17        all      3.10      0.00      0.29      0.00      0.00     96.61
16:57:17        all      2.95      0.00      0.45      0.00      0.00     96.60
16:58:17        all      3.11      0.00      0.27      0.00      0.00     96.62
16:59:17        all      2.92      0.00      0.48      0.00      0.00     96.60
17:00:17        all      3.08      0.00      0.30      0.00      0.00     96.62
17:01:17        all      2.79      0.00      0.61      0.00      0.00     96.59
