# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415206961;-40350.65;-257.68;12559.07
axle;60;1415207021;1553.83;-11.78;-16738.25
axle;60;1415207081;18072.50;0.77;-8591.78
axle;60;1415207141;8408.48;0.07;-213.12
axle;60;1415207201;-7311.55;0.88;3819.70
axle;60;1415207261;2839.55;0.47;-2361.72
axle;60;1415207321;137.15;0.93;-4396.90
axle;60;1415207381;-2561.15;0.78;939.93
axle;60;1415207441;-10396.67;-52.72;-5047.43
axle;60;1415207501;14595.60;0.83;4465.43
axle;60;1415207561;10455.30;0.95;-2299.53
axle;60;1415207621;-6906.55;0.95;-4203.32
axle;60;1415207681;-1228.52;0.90;947.50
axle;60;1415207741;6638.92;0.93;1066.48
axle;60;1415207801;-3988.50;0.97;927.32
axle;60;1415207861;-5654.83;0.93;4112.70
axle;60;1415207921;-1197.42;0.87;6094.18
axle;60;1415207981;-10898.17;0.53;4101.12
axle;60;1415208041;-8941.02;0.93;-327.90
axle;60;1415208101;25996.18;1.02;-5020.42
axle;60;1415208161;-9719.42;0.93;2397.70
axle;60;1415208221;-2990.32;-9.43;-9426.00
axle;60;1415208281;8219.15;0.83;-7550.07
axle;60;1415208341;46528.40;0.78;-6216.68
