# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415206961;452520;263667036;99.83;181936;235550212;96799712;35.37;164847108;89045516
axle;60;1415207021;825440;263294116;99.69;179108;231533032;100475156;36.71;167188820;86321476
axle;60;1415207081;5162840;258956716;98.05;179292;229471004;98274280;35.91;164883980;84303140
axle;60;1415207141;7180876;256938680;97.28;179308;229419856;96450864;35.24;163043452;84112944
axle;60;1415207201;5426104;258693452;97.95;179520;230336584;97046000;35.46;164152028;84775944
axle;60;1415207261;6107596;258011960;97.69;179632;229769772;97020168;35.45;164179312;84050596
axle;60;1415207321;6140512;257979044;97.68;179856;228714516;97964592;35.79;165357252;82840260
axle;60;1415207381;5525836;258593720;97.91;180044;228940100;98368784;35.94;165959896;82858268
axle;60;1415207441;3030636;261088920;98.85;167392;227728716;102117272;37.31;167122132;84179360
axle;60;1415207501;6533580;257585976;97.53;167592;228800420;97565476;35.65;163032020;84795660
axle;60;1415207561;9042852;255076704;96.58;167820;228248532;95524820;34.90;160897220;84319492
axle;60;1415207621;7385280;256734276;97.20;168048;227239736;98477196;35.98;163789524;83145216
axle;60;1415207681;7090436;257029120;97.32;168264;227467136;98488132;35.99;164062588;83202212
axle;60;1415207741;8683776;255435780;96.71;168488;227723092;96488596;35.26;162362852;83267940
axle;60;1415207801;7726536;256393020;97.07;168720;227945648;97376652;35.58;163260212;83345040
axle;60;1415207861;6369376;257750180;97.59;168944;228932696;97539400;35.64;163833592;84146368
axle;60;1415207921;6081996;258037560;97.70;169152;230395300;96292468;35.18;162716900;85510408
axle;60;1415207981;3466436;260653120;98.69;169280;231379568;97942732;35.79;164499372;86350688
axle;60;1415208041;1320592;262798964;99.50;169504;231300872;100182888;36.61;166786380;86232728
axle;60;1415208101;7559676;256559880;97.14;169748;230095972;95256564;34.81;162038884;84743152
axle;60;1415208161;5227016;258892540;98.02;169972;230671420;96888792;35.40;163797796;85303960
axle;60;1415208221;4509340;259610216;98.29;167708;228409180;99926512;36.51;164082292;85771292
axle;60;1415208281;6481936;257637620;97.55;167908;226597164;99836808;36.48;164040308;83833232
axle;60;1415208341;17648752;246470804;93.32;168096;225105160;90595112;33.10;154774248;82201380
