# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1415206961;0.00;1103.22
axle;60;1415207021;0.00;102.05
axle;60;1415207081;0.00;51.12
axle;60;1415207141;0.20;102.05
axle;60;1415207201;0.00;14.48
axle;60;1415207261;0.00;56.45
axle;60;1415207321;0.00;0.00
axle;60;1415207381;0.00;44.85
axle;60;1415207441;0.00;347.12
axle;60;1415207501;0.00;0.00
axle;60;1415207561;0.00;0.00
axle;60;1415207621;0.00;0.00
axle;60;1415207681;0.00;0.00
axle;60;1415207741;0.00;0.00
axle;60;1415207801;0.00;0.00
axle;60;1415207861;0.00;0.00
axle;60;1415207921;0.00;35.67
axle;60;1415207981;0.00;0.00
axle;60;1415208041;0.00;111.23
axle;60;1415208101;0.00;0.00
axle;60;1415208161;0.00;0.00
axle;60;1415208221;0.00;182.00
axle;60;1415208281;0.00;25.45
axle;60;1415208341;0.00;0.00
