Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

17:01:41        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:02:41        all     22.74      0.00      4.81      0.24      0.00     72.21
17:03:41        all     23.78      0.00      3.63      0.04      0.00     72.55
17:04:41        all     22.12      0.00      4.89      0.06      0.00     72.92
17:05:41        all     22.07      0.00      4.53      0.03      0.00     73.38
17:06:41        all     23.48      0.00      3.83      0.03      0.00     72.66
17:07:41        all     23.33      0.00      3.74      0.01      0.00     72.91
17:08:41        all     23.76      0.00      3.78      0.06      0.00     72.40
17:09:41        all     22.05      0.00      4.78      0.02      0.00     73.15
17:10:41        all     22.68      0.00      4.57      0.02      0.00     72.73
17:11:41        all     23.12      0.00      4.07      0.06      0.00     72.74
17:12:41        all     22.49      0.00      4.50      0.04      0.00     72.97
17:13:41        all     23.92      0.00      3.68      0.03      0.00     72.37
17:14:41        all     23.74      0.00      3.49      0.02      0.00     72.75
17:15:41        all     24.66      0.00      3.20      0.03      0.00     72.11
17:16:41        all     23.83      0.00      3.51      0.00      0.00     72.66
17:17:41        all     22.95      0.00      4.24      0.03      0.00     72.79
17:18:41        all     22.81      0.00      4.02      0.02      0.00     73.15
17:19:41        all     24.28      0.00      3.33      0.10      0.00     72.29
17:20:41        all     23.83      0.00      3.91      0.06      0.00     72.20
17:21:41        all     24.16      0.00      3.49      0.03      0.00     72.32
17:22:41        all     22.32      0.00      5.05      0.02      0.00     72.61
17:23:41        all     22.52      0.00      4.74      0.08      0.00     72.66
17:24:41        all     22.19      0.00      4.37      0.03      0.00     73.41
17:25:41        all      8.55      0.00      1.76      0.01      0.00     89.68
