Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

16:30:42        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:31:42        all      8.37      0.00      1.03      1.68      0.00     88.93
16:32:42        all      7.94      0.00      0.81      0.50      0.00     90.74
16:33:42        all      4.15      0.00      0.51      0.18      0.00     95.16
16:34:42        all      3.03      0.00      0.41      0.16      0.00     96.40
16:35:42        all      3.08      0.00      0.38      0.08      0.00     96.45
16:36:42        all      4.15      0.00      0.71      0.04      0.00     95.10
16:37:42        all      5.67      0.00      0.54      0.47      0.00     93.33
16:38:42        all      3.69      0.00      0.29      0.12      0.00     95.90
16:39:42        all      3.23      0.00      0.14      0.01      0.00     96.61
16:40:42        all      3.23      0.00      0.15      0.00      0.00     96.61
16:41:42        all      3.02      0.00      0.35      0.08      0.00     96.55
16:42:42        all      3.10      0.00      0.27      0.00      0.00     96.63
16:43:42        all      4.11      0.00      0.69      0.05      0.00     95.14
16:44:42        all      5.72      0.00      0.39      0.06      0.00     93.82
16:45:42        all      3.59      0.00      0.31      0.10      0.00     96.00
16:46:42        all      3.24      0.00      0.13      0.00      0.00     96.62
16:47:42        all      3.21      0.00      0.16      0.00      0.00     96.63
