# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415205102;-2566.87;-48.75;-313.02
axle;60;1415205162;2480.67;-20.10;-2727.35
axle;60;1415205222;-2296.02;-3.28;6153.35
axle;60;1415205282;-194.93;-4.92;295.33
axle;60;1415205342;-16.12;-37.43;293.15
axle;60;1415205402;-217.20;-131.45;-17442.37
axle;60;1415205462;1060.68;-6.92;-603.23
axle;60;1415205522;10530.73;-7.07;-2720.08
axle;60;1415205582;-3417.15;0.98;3404.68
axle;60;1415205642;-2752.22;-0.12;2718.77
axle;60;1415205702;15863.22;-3.23;-5983.30
axle;60;1415205762;-11760.52;0.53;4207.37
axle;60;1415205822;-9159.83;-39.68;-8222.32
axle;60;1415205882;8764.80;-22.83;-996.45
axle;60;1415205942;6525.77;0.77;3409.82
axle;60;1415206002;-2569.02;0.67;2541.07
axle;60;1415206062;-6029.10;0.68;6020.82
