# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415205102;517248;263602308;99.80;338144;240916520;91230084;33.33;164062476;89659052
axle;60;1415205162;1112608;263006948;99.58;333320;240261956;91229008;33.33;163769556;89427436
axle;60;1415205222;561564;263557992;99.79;332532;241738760;90300756;32.99;162954832;90792964
axle;60;1415205282;514780;263604776;99.81;331352;241809640;90297852;32.99;161575204;92244540
axle;60;1415205342;510912;263608644;99.81;322368;241879996;90278544;32.99;160557316;93320792
axle;60;1415205402;458784;263660772;99.83;290820;237693828;94794892;34.64;162017532;91943124
axle;60;1415205462;713348;263406208;99.73;289160;237549052;94463340;34.52;160995564;92715348
axle;60;1415205522;3240724;260878832;98.77;287464;236896232;92612488;33.84;158883664;92335620
axle;60;1415205582;2420608;261698948;99.08;287700;237713356;92612488;33.84;159016848;93019964
axle;60;1415205642;1760076;262359480;99.33;287672;238365860;92596164;33.83;159558060;93132308
axle;60;1415205702;5567248;258552308;97.89;286896;236929868;90215404;32.96;156124432;92764704
axle;60;1415205762;2744724;261374832;98.96;287024;237939636;92085864;33.65;158089304;93647492
axle;60;1415205822;546364;263573192;99.79;277500;235966280;96221920;35.16;161820392;92134948
axle;60;1415205882;2649916;261469640;99.00;272020;235727132;94406112;34.49;159495260;92371692
axle;60;1415205942;4216100;259903456;98.40;272204;236545488;92045628;33.63;157232052;93092388
axle;60;1415206002;3599536;260520020;98.64;272364;237155344;92045628;33.63;157366944;93563852
axle;60;1415206062;2152552;261967004;99.19;272528;238600340;92063104;33.64;158403768;93972200
