# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1415205102;0.00;294.60
axle;60;1415205162;0.00;209.70
axle;60;1415205222;0.00;17.92
axle;60;1415205282;0.00;28.65
axle;60;1415205342;0.00;37.15
axle;60;1415205402;0.23;59.77
axle;60;1415205462;0.00;10.17
axle;60;1415205522;0.00;4.32
axle;60;1415205582;0.00;0.00
axle;60;1415205642;0.00;0.00
axle;60;1415205702;0.00;13.70
axle;60;1415205762;0.00;0.00
axle;60;1415205822;0.00;0.27
axle;60;1415205882;0.00;2.63
axle;60;1415205942;0.00;1.03
axle;60;1415206002;0.00;0.00
axle;60;1415206062;0.00;0.00
